movieId,userId,rating,original_title
647,647,4.0,Heat
564,564,3.0,Heat
558,558,4.0,Heat
547,547,4.0,Heat
537,537,3.0,Heat
509,509,2.0,Heat
505,505,3.5,Heat
452,452,4.5,Heat
387,387,5.0,Heat
363,363,4.0,Heat
311,311,3.0,Heat
263,263,3.0,Heat
242,242,5.0,Heat
232,232,2.0,Heat
102,102,4.0,Heat
23,23,3.5,Heat
390,390,2.0,GoldenEye
358,358,1.0,GoldenEye
665,665,3.0,Cutthroat Island
658,658,5.0,Cutthroat Island
624,624,2.0,Cutthroat Island
607,607,4.0,Cutthroat Island
603,603,5.0,Cutthroat Island
596,596,4.0,Cutthroat Island
580,580,3.5,Cutthroat Island
577,577,3.0,Cutthroat Island
575,575,3.0,Cutthroat Island
573,573,4.0,Cutthroat Island
564,564,3.0,Cutthroat Island
537,537,3.0,Cutthroat Island
534,534,4.0,Cutthroat Island
529,529,2.0,Cutthroat Island
522,522,3.5,Cutthroat Island
509,509,3.0,Cutthroat Island
493,493,2.0,Cutthroat Island
480,480,4.5,Cutthroat Island
468,468,2.5,Cutthroat Island
466,466,5.0,Cutthroat Island
463,463,4.0,Cutthroat Island
408,408,4.0,Cutthroat Island
388,388,5.0,Cutthroat Island
384,384,3.0,Cutthroat Island
353,353,3.5,Cutthroat Island
311,311,4.5,Cutthroat Island
306,306,4.0,Cutthroat Island
280,280,4.0,Cutthroat Island
276,276,3.5,Cutthroat Island
275,275,4.5,Cutthroat Island
263,263,4.5,Cutthroat Island
245,245,4.0,Cutthroat Island
237,237,1.0,Cutthroat Island
232,232,5.0,Cutthroat Island
212,212,3.5,Cutthroat Island
111,111,4.5,Cutthroat Island
73,73,3.0,Cutthroat Island
63,63,4.5,Cutthroat Island
57,57,4.0,Cutthroat Island
23,23,3.5,Cutthroat Island
19,19,3.0,Cutthroat Island
11,11,5.0,Cutthroat Island
7,7,1.0,Cutthroat Island
665,665,3.0,Casino
637,637,5.0,Casino
607,607,3.0,Casino
604,604,4.5,Casino
547,547,1.0,Casino
496,496,5.0,Casino
487,487,5.0,Casino
468,468,3.0,Casino
452,452,2.0,Casino
416,416,4.0,Casino
414,414,3.0,Casino
388,388,4.0,Casino
